AJUDA|AJUDA
AUDIO|AUDIO
AUTOCAD|AUTOCAD
BASE DE DADOS|BASE DE DADOS
BIBLIOTECA DE VÍNCULO|BIBLIOTECA DE VÍNCULO
DINÂMICO|DINÂMICO
CATÁLOGO|CATÁLOGO
COMPACTADO|COMPACTADO
CONFIGURAÇÃO|CONFIGURAÇÃO
CORELDRAW|CORELDRAW
DEFINIÇÃO DE TIPO DE|DEFINIÇÃO DE TIPO DE
DOCUMENTO|DOCUMENTO
DICIONARIO|DICIONARIO
DOCUMENTO DO MS-WORD|DOCUMENTO DO MS-WORD
EXTENSIBLE MARKUP|EXTENSIBLE MARKUP
LANGUAGE|LANGUAGE
FOLHA DE ESTILO|FOLHA DE ESTILO
FONTE|FONTE
INTERFACE PARA PROGRAMA|INTERFACE PARA PROGRAMA
APLICATIVO|APLICATIVO
LINGUAGEM DE PROGRAMAÇÃO|LINGUAGEM DE PROGRAMAÇÃO
HTML ESTÁTICO|HTML ESTÁTICO
IMAGEM|IMAGEM
INFORMAÇÃO|INFORMAÇÃO
INICIALIZAÇÃO|INICIALIZAÇÃO
MENSAGEM|MENSAGEM
MODELO DO MS-WORD|MODELO DO MS-WORD
MS-OUTLOOK|MS-OUTLOOK
MULTIMIDIA|MULTIMIDIA
PLANILHA|PLANILHA
PORTABLE DOCUMENT FILE|PORTABLE DOCUMENT FILE
POWER-POINT|POWER-POINT
PROTOCOLO DE COMUNICAÇÃO|PROTOCOLO DE COMUNICAÇÃO
TEXTO|TEXTO


