a|Material textual(BK)|tese.fmt
c|Música impressa(MU)|mono.fdt
d|Manuscritos de música(MU)|mono.fdt
e|Material cartográfico(MP)|mono.fdt
f|Manuscritos de material cartográfico(MP)|mono.fdt
g|Material projetável(VM)|mono.fdt
i|Registros sonoros não musicais(MU)|mono.fdt
j|Registros musicais(MU)|mono.fdt
k|Gráficos bi-dimensionais não projetáveis(VM)|mono.fdt
m|Arquivo de computador(CF)|mono.fdt
o|Kit(VM)|mono.fdt
p|Material misto(XM)|mono.fdt
r|Material tridimensional, artefato(VM)|mono.fdt
t|Manuscritos(AM)|mono.fdt
